Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""1s.18h""","=""3H*""","=""4""",9,"=""[""","=""24.54540167442429""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18h""","=""1H*""","=""5""",11,"=""[""","=""24.54540167767194""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18i""","=""3I""","=""6""",13,"=""[""","=""24.54540178404480""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18i""","=""3I""","=""7""",15,"=""[""","=""24.54540178740787""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18i""","=""3I""","=""5""",11,"=""[""","=""24.54540179047227""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18i""","=""1I""","=""6""",13,"=""[""","=""24.54540179290694""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.18p""","=""1P*""","=""1""",3,"=""[""","=""24.545458369802""","=""]""","=""0.000000000003""","=""L22715c201"""
"=""1s.19s""","=""3S""","=""1""",3,"=""[""","=""24.54849992895""","=""]""","=""0.00000000004""","=""L22715c201"""
"=""1s.19s""","=""1S""","=""0""",1,"=""[""","=""24.54914456634""","=""]""","=""0.00000000004""","=""L22715c201"""
"=""1s.19p""","=""3P*""","=""2""",5,"=""[""","=""24.549432852684""","=""]""","=""0.000000000015""","=""L22715c201"""
"=""1s.19p""","=""3P*""","=""1""",3,"=""[""","=""24.549432862427""","=""]""","=""0.000000000015""","=""L22715c201"""
"=""1s.19p""","=""3P*""","=""0""",1,"=""[""","=""24.549432982268""","=""]""","=""0.000000000016""","=""L22715c201"""
"=""1s.19d""","=""3D""","=""3""",7,"=""[""","=""24.5496938778988""","=""]""","=""0.0000000000017""","=""L22715c201"""
"=""1s.19d""","=""3D""","=""2""",5,"=""[""","=""24.5496938794294""","=""]""","=""0.0000000000017""","=""L22715c201"""
"=""1s.19d""","=""3D""","=""1""",3,"=""[""","=""24.5496939007088""","=""]""","=""0.0000000000017""","=""L22715c201"""
"=""1s.19d""","=""1D""","=""2""",5,"=""[""","=""24.5496969290929""","=""]""","=""0.0000000000012""","=""L22715c201"""
"=""1s.19f""","=""3F*""","=""3""",7,"=""[""","=""24.5497035191411""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.19f""","=""3F*""","=""4""",9,"=""[""","=""24.54970352409401""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19f""","=""3F*""","=""2""",5,"=""[""","=""24.54970353404932""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19f""","=""1F*""","=""3""",7,"=""[""","=""24.5497035516561""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.19g""","=""3G""","=""4""",9,"=""[""","=""24.54970477784814""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19g""","=""3G""","=""5""",11,"=""[""","=""24.54970478408442""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19g""","=""3G""","=""3""",7,"=""[""","=""24.54970478977393""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19g""","=""1G""","=""4""",9,"=""[""","=""24.54970479363046""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19h""","=""3H*""","=""5""",11,"=""[""","=""24.54970508705692""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19h""","=""3H*""","=""6""",13,"=""[""","=""24.54970509113377""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.19h""","=""3H*""","=""4""",9,"=""[""","=""24.54970509483395""","=""]""","=""0.00000000000025""","=""L22715c201"""
