Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Reference
"=""1s.31g""","=""3G""","=""4""",9,"=""[""","=""24.57323298560227""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31g""","=""3G""","=""5""",11,"=""[""","=""24.57323298703776""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31g""","=""3G""","=""3""",7,"=""[""","=""24.57323298834765""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31g""","=""1G""","=""4""",9,"=""[""","=""24.57323298923600""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31h""","=""3H*""","=""5""",11,"=""[""","=""24.57323305736668""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31h""","=""3H*""","=""6""",13,"=""[""","=""24.57323305830536""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31h""","=""3H*""","=""4""",9,"=""[""","=""24.57323305915726""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31h""","=""1H*""","=""5""",11,"=""[""","=""24.57323305979305""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31i""","=""3I""","=""6""",13,"=""[""","=""24.57323308093868""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31i""","=""3I""","=""7""",15,"=""[""","=""24.57323308159704""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31i""","=""3I""","=""5""",11,"=""[""","=""24.57323308219700""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31i""","=""1I""","=""6""",13,"=""[""","=""24.57323308267359""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.31p""","=""1P*""","=""1""",3,"=""[""","=""24.5732441776680""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.32s""","=""3S""","=""1""",3,"=""[""","=""24.573854204444""","=""]""","=""0.000000000009""","=""L22715c201"""
"=""1s.32s""","=""1S""","=""0""",1,"=""[""","=""24.573987225470""","=""]""","=""0.000000000011""","=""L22715c201"""
"=""1s.32p""","=""3P*""","=""2""",5,"=""[""","=""24.574047095037""","=""]""","=""0.000000000004""","=""L22715c201"""
"=""1s.32p""","=""3P*""","=""1""",3,"=""[""","=""24.574047097066""","=""]""","=""0.000000000004""","=""L22715c201"""
"=""1s.32p""","=""3P*""","=""0""",1,"=""[""","=""24.574047122024""","=""]""","=""0.000000000004""","=""L22715c201"""
"=""1s.32d""","=""3D""","=""3""",7,"=""[""","=""24.5741016266281""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.32d""","=""3D""","=""2""",5,"=""[""","=""24.5741016269493""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.32d""","=""3D""","=""1""",3,"=""[""","=""24.5741016314020""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.32d""","=""1D""","=""2""",5,"=""[""","=""24.5741022700706""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.32f""","=""3F*""","=""3""",7,"=""[""","=""24.57410365141942""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32f""","=""3F*""","=""4""",9,"=""[""","=""24.57410365243783""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32f""","=""3F*""","=""2""",5,"=""[""","=""24.57410365452150""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32f""","=""1F*""","=""3""",7,"=""[""","=""24.57410365827959""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32g""","=""3G""","=""4""",9,"=""[""","=""24.57410391627285""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32g""","=""3G""","=""5""",11,"=""[""","=""24.57410391757792""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32g""","=""3G""","=""3""",7,"=""[""","=""24.57410391876878""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32g""","=""1G""","=""4""",9,"=""[""","=""24.57410391957641""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32h""","=""3H*""","=""5""",11,"=""[""","=""24.57410398153665""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32h""","=""3H*""","=""6""",13,"=""[""","=""24.57410398239003""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32h""","=""3H*""","=""4""",9,"=""[""","=""24.57410398316456""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32h""","=""1H*""","=""5""",11,"=""[""","=""24.57410398374257""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32i""","=""3I""","=""6""",13,"=""[""","=""24.57410400297625""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32i""","=""3I""","=""7""",15,"=""[""","=""24.57410400357484""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32i""","=""3I""","=""5""",11,"=""[""","=""24.57410400412025""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32i""","=""1I""","=""6""",13,"=""[""","=""24.57410400455357""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.32p""","=""1P*""","=""1""",3,"=""[""","=""24.5741140921573""","=""]""","=""0.0000000000006""","=""L22715c201"""
"=""1s.33s""","=""3S""","=""1""",3,"=""[""","=""24.574669284234""","=""]""","=""0.000000000008""","=""L22715c201"""
"=""1s.33s""","=""1S""","=""0""",1,"=""[""","=""24.574790498896""","=""]""","=""0.000000000010""","=""L22715c201"""
"=""1s.33p""","=""3P*""","=""2""",5,"=""[""","=""24.574845070751""","=""]""","=""0.000000000003""","=""L22715c201"""
"=""1s.33p""","=""3P*""","=""1""",3,"=""[""","=""24.574845072600""","=""]""","=""0.000000000003""","=""L22715c201"""
"=""1s.33p""","=""3P*""","=""0""",1,"=""[""","=""24.574845095352""","=""]""","=""0.000000000004""","=""L22715c201"""
"=""1s.33d""","=""3D""","=""3""",7,"=""[""","=""24.5748947891421""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.33d""","=""3D""","=""2""",5,"=""[""","=""24.5748947894349""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.33d""","=""3D""","=""1""",3,"=""[""","=""24.5748947934950""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.33d""","=""1D""","=""2""",5,"=""[""","=""24.57489537598439""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33f""","=""3F*""","=""3""",7,"=""[""","=""24.57489663557879""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33f""","=""3F*""","=""4""",9,"=""[""","=""24.57489663650681""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33f""","=""3F*""","=""2""",5,"=""[""","=""24.57489663840675""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33f""","=""1F*""","=""3""",7,"=""[""","=""24.57489664183565""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33g""","=""3G""","=""4""",9,"=""[""","=""24.57489687711774""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33g""","=""3G""","=""5""",11,"=""[""","=""24.57489687830762""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33g""","=""3G""","=""3""",7,"=""[""","=""24.57489687939347""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33g""","=""1G""","=""4""",9,"=""[""","=""24.57489688012993""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33h""","=""3H*""","=""5""",11,"=""[""","=""24.57489693664242""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33h""","=""3H*""","=""6""",13,"=""[""","=""24.57489693742055""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33h""","=""3H*""","=""4""",9,"=""[""","=""24.57489693812677""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33h""","=""1H*""","=""5""",11,"=""[""","=""24.57489693865382""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33i""","=""3I""","=""6""",13,"=""[""","=""24.57489695619907""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33i""","=""3I""","=""7""",15,"=""[""","=""24.57489695674485""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33i""","=""3I""","=""5""",11,"=""[""","=""24.57489695724215""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33i""","=""1I""","=""6""",13,"=""[""","=""24.57489695763729""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.33p""","=""1P*""","=""1""",3,"=""[""","=""24.5749061561969""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.34s""","=""3S""","=""1""",3,"=""[""","=""24.575412893719""","=""]""","=""0.000000000007""","=""L22715c201"""
"=""1s.34s""","=""1S""","=""0""",1,"=""[""","=""24.575523658875""","=""]""","=""0.000000000009""","=""L22715c201"""
"=""1s.34p""","=""3P*""","=""2""",5,"=""[""","=""24.575573540123""","=""]""","=""0.000000000003""","=""L22715c201"""
"=""1s.34p""","=""3P*""","=""1""",3,"=""[""","=""24.575573541814""","=""]""","=""0.000000000003""","=""L22715c201"""
"=""1s.34p""","=""3P*""","=""0""",1,"=""[""","=""24.575573562612""","=""]""","=""0.000000000003""","=""L22715c201"""
"=""1s.34d""","=""3D""","=""3""",7,"=""[""","=""24.5756189954825""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.34d""","=""3D""","=""2""",5,"=""[""","=""24.5756189957502""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.34d""","=""3D""","=""1""",3,"=""[""","=""24.5756189994624""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.34d""","=""1D""","=""2""",5,"=""[""","=""24.57561953216943""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34f""","=""3F*""","=""3""",7,"=""[""","=""24.57562068390626""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34f""","=""3F*""","=""4""",9,"=""[""","=""24.57562068475431""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34f""","=""3F*""","=""2""",5,"=""[""","=""24.57562068649158""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34f""","=""1F*""","=""3""",7,"=""[""","=""24.57562068962851""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34g""","=""3G""","=""4""",9,"=""[""","=""24.57562090478771""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34g""","=""3G""","=""5""",11,"=""[""","=""24.57562090587567""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34g""","=""3G""","=""3""",7,"=""[""","=""24.57562090686853""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34g""","=""1G""","=""4""",9,"=""[""","=""24.57562090754189""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34h""","=""3H*""","=""5""",11,"=""[""","=""24.57562095922669""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34h""","=""3H*""","=""6""",13,"=""[""","=""24.57562095993811""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34h""","=""3H*""","=""4""",9,"=""[""","=""24.57562096058382""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34h""","=""1H*""","=""5""",11,"=""[""","=""24.57562096106575""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34i""","=""3I""","=""6""",13,"=""[""","=""24.57562097711426""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34i""","=""3I""","=""7""",15,"=""[""","=""24.57562097761330""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34i""","=""3I""","=""5""",11,"=""[""","=""24.57562097806795""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34i""","=""1I""","=""6""",13,"=""[""","=""24.57562097842924""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.34p""","=""1P*""","=""1""",3,"=""[""","=""24.5756293894120""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""1s.35s""","=""3S""","=""1""",3,"=""[""","=""24.576093150917""","=""]""","=""0.000000000007""","=""L22715c201"""
"=""1s.35s""","=""1S""","=""0""",1,"=""[""","=""24.576194633969""","=""]""","=""0.000000000008""","=""L22715c201"""
"=""1s.35p""","=""3P*""","=""2""",5,"=""[""","=""24.576240347176""","=""]""","=""0.000000000003""","=""L22715c201"""
"=""1s.35p""","=""3P*""","=""1""",3,"=""[""","=""24.576240348725""","=""]""","=""0.000000000003""","=""L22715c201"""
"=""1s.35p""","=""3P*""","=""0""",1,"=""[""","=""24.576240367788""","=""]""","=""0.000000000003""","=""L22715c201"""
"=""1s.35d""","=""3D""","=""3""",7,"=""[""","=""24.5762820132583""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.35d""","=""3D""","=""2""",5,"=""[""","=""24.5762820135037""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.35d""","=""3D""","=""1""",3,"=""[""","=""24.5762820169067""","=""]""","=""0.0000000000004""","=""L22715c201"""
"=""1s.35d""","=""1D""","=""2""",5,"=""[""","=""24.57628250534329""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35f""","=""3F*""","=""3""",7,"=""[""","=""24.57628356119235""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35f""","=""3F*""","=""4""",9,"=""[""","=""24.57628356196936""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35f""","=""3F*""","=""2""",5,"=""[""","=""24.57628356356194""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35f""","=""1F*""","=""3""",7,"=""[""","=""24.57628356643899""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35g""","=""3G""","=""4""",9,"=""[""","=""24.57628376370554""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35g""","=""3G""","=""5""",11,"=""[""","=""24.57628376470286""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35g""","=""3G""","=""3""",7,"=""[""","=""24.57628376561303""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35g""","=""1G""","=""4""",9,"=""[""","=""24.57628376623035""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35h""","=""3H*""","=""5""",11,"=""[""","=""24.57628381362145""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35h""","=""3H*""","=""6""",13,"=""[""","=""24.57628381427373""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35h""","=""3H*""","=""4""",9,"=""[""","=""24.57628381486563""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35h""","=""1H*""","=""5""",11,"=""[""","=""24.57628381530739""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35i""","=""3I""","=""6""",13,"=""[""","=""24.57628383002456""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35i""","=""3I""","=""7""",15,"=""[""","=""24.57628383048206""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35i""","=""3I""","=""5""",11,"=""[""","=""24.57628383089889""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35i""","=""1I""","=""6""",13,"=""[""","=""24.57628383123006""","=""]""","=""0.00000000000025""","=""L22715c201"""
"=""1s.35p""","=""1P*""","=""1""",3,"=""[""","=""24.5762915420321""","=""]""","=""0.0000000000005""","=""L22715c201"""
"=""He II (1s 2S<1/2>)""","=""Limit""","=""---""",,"=""""","=""24.587389011""","=""""","=""0.000000025""","=""L17714"""
"=""2s.2p""","=""3P*""","=""0,1,2""",9,"=""""","=""58.311""","=""""","=""0.006""","=""L1368"""
"=""2p2""","=""3P""","=""0,1,2""",9,"=""""","=""59.67378""","=""""","=""0.00015""","=""L1341"""
"=""2p.3p""","=""3D""","=""1,2,3""",15,"=""""","=""63.119""","=""""","=""0.006""","=""L1368"""
"=""2p.3d""","=""3D*""","=""1,2,3""",15,"=""""","=""63.78658""","=""""","=""0.00015""","=""L1368"""
"=""2p.3d""","=""3P*""","=""0,1,2""",9,"=""""","=""64.0719""","=""""","=""0.0006""","=""L1368"""
