obs_E(eV),unc_obs_E,ritz_wn(eV),unc_ritz_wn,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""0.14159055237821""","=""0.00000000000021""","=""""","=""9.2796e+02""",AAA,"=""[24.30975705163464]""","=""[24.45134760401285]""","=""1s.7h""","=""1H*""","=""5""","=""1s.10g""","=""1G""","=""4""",11,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159049934558""","=""0.00000000000021""","=""""","=""1.9694e+01""",AAA,"=""[24.30975699641729]""","=""[24.45134749576287]""","=""1s.7h""","=""3H*""","=""4""","=""1s.10g""","=""3G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.14159048694567""","=""0.00000000000021""","=""""","=""1.501e+01""",AA,"=""[24.30975705163464]""","=""[24.45134753858031]""","=""1s.7h""","=""1H*""","=""5""","=""1s.10g""","=""3G""","=""5""",11,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415880954452""","=""0.0000000000006""","=""""","=""2.109e+02""",AA,"=""[24.3097511655788]""","=""[24.4513392610240]""","=""1s.7g""","=""3G""","=""4""","=""1s.10f""","=""1F*""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415879156054""","=""0.0000000000006""","=""""","=""6.6491e+01""",AAA,"=""[24.3097511655788]""","=""[24.4513390811842]""","=""1s.7g""","=""3G""","=""4""","=""1s.10f""","=""3F*""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415878791475""","=""0.0000000000006""","=""""","=""2.3351e+03""",AAA,"=""[24.3097511655788]""","=""[24.4513390447263]""","=""1s.7g""","=""3G""","=""4""","=""1s.10f""","=""3F*""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415878566698""","=""0.0000000000006""","=""""","=""3.640e+01""",AA,"=""[24.3097514043543]""","=""[24.4513392610240]""","=""1s.7g""","=""3G""","=""3""","=""1s.10f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415877906239""","=""0.0000000000006""","=""""","=""2.5016e+03""",AAA,"=""[24.3097512905603]""","=""[24.4513390811842]""","=""1s.7g""","=""3G""","=""5""","=""1s.10f""","=""3F*""","=""4""",11,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415877798541""","=""0.0000000000006""","=""""","=""2.3842e+03""",AAA,"=""[24.3097514811699]""","=""[24.4513392610240]""","=""1s.7g""","=""1G""","=""4""","=""1s.10f""","=""1F*""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415877451287""","=""0.0000000000006""","=""""","=""2.6316e+03""",AAA,"=""[24.3097514043543]""","=""[24.4513391494830]""","=""1s.7g""","=""3G""","=""3""","=""1s.10f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415876768299""","=""0.0000000000006""","=""""","=""2.0305e+00""",AAA,"=""[24.3097514043543]""","=""[24.4513390811842]""","=""1s.7g""","=""3G""","=""3""","=""1s.10f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.1415876403720""","=""0.0000000000006""","=""""","=""1.2807e+02""",AAA,"=""[24.3097514043543]""","=""[24.4513390447263]""","=""1s.7g""","=""3G""","=""3""","=""1s.10f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""""",
