obs_E(eV),unc_obs_E,ritz_wn(eV),unc_ritz_wn,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""0.682325857155""","=""0.000000000009""","=""""","=""1.423e+03""",AA,"=""[23.737009722091]""","=""[24.419335579246]""","=""1s.4f""","=""1F*""","=""3""","=""1s.9d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.682325842932""","=""0.000000000009""","=""""","=""1.303e+02""",AA,"=""[23.737009722091]""","=""[24.419335565023]""","=""1s.4f""","=""1F*""","=""3""","=""1s.9d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.68077869583""","=""0.00000000009""","=""""","=""3.2453e+04""",AAA,"=""[23.73609019010]""","=""[24.41686888593]""","=""1s.4d""","=""3D""","=""3""","=""1s.9p""","=""3P*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.68077864018""","=""0.00000000009""","=""""","=""2.8972e+04""",AAA,"=""[23.73609033897]""","=""[24.41686897915]""","=""1s.4d""","=""3D""","=""2""","=""1s.9p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.68077854696""","=""0.00000000009""","=""""","=""5.7943e+03""",AAA,"=""[23.73609033897]""","=""[24.41686888593]""","=""1s.4d""","=""3D""","=""2""","=""1s.9p""","=""3P*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.68077748945""","=""0.00000000009""","=""""","=""3.8634e+04""",AAA,"=""[23.73609263507]""","=""[24.41687012452]""","=""1s.4d""","=""3D""","=""1""","=""1s.9p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.68077634408""","=""0.00000000009""","=""""","=""9.6585e+03""",AAA,"=""[23.73609263507]""","=""[24.41686897915]""","=""1s.4d""","=""3D""","=""1""","=""1s.9p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.68077625086""","=""0.00000000009""","=""""","=""3.8634e+02""",AAA,"=""[23.73609263507]""","=""[24.41686888593]""","=""1s.4d""","=""3D""","=""1""","=""1s.9p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6772930485""","=""0.0000000009""","=""""","=""2.4289e+05""",AAA,"=""[23.74207006880]""","=""[24.419363117280]""","=""1s.4p""","=""1P*""","=""1""","=""1s.9d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6720180087""","=""0.0000000009""","=""""","=""1.9477e+05""",AAA,"=""[23.74207006880]""","=""[24.41408807749]""","=""1s.4p""","=""1P*""","=""1""","=""1s.9s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6679952710""","=""0.0000000009""","=""1""","=""2.9630e+05""",AAA,"=""[23.07407479777]""","=""[23.74207006880]""","=""1s.3d""","=""1D""","=""2""","=""1s.4p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""0.6667899578""","=""0.0000000009""","=""""","=""9.7398e+03""",AAA,"=""[23.7078912279]""","=""[24.374681185743]""","=""1s.4p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6667896723""","=""0.0000000009""","=""""","=""8.7651e+04""",AAA,"=""[23.7078912279]""","=""[24.374680900214]""","=""1s.4p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6667896521""","=""0.0000000009""","=""""","=""3.5063e+05""",AAA,"=""[23.7078912279]""","=""[24.374680880069]""","=""1s.4p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6667888424""","=""0.0000000009""","=""""","=""1.4610e+05""",AAA,"=""[23.7078923433]""","=""[24.374681185743]""","=""1s.4p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6667885569""","=""0.0000000009""","=""""","=""2.6296e+05""",AAA,"=""[23.7078923433]""","=""[24.374680900214]""","=""1s.4p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6667751637""","=""0.0000000009""","=""""","=""1.9480e+05""",AAA,"=""[23.7079060221]""","=""[24.374681185743]""","=""1s.4p""","=""3P*""","=""0""","=""1s.8d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.66335901355""","=""0.00000000009""","=""""","=""5.611e+05""",AA,"=""[23.07365070854]""","=""[23.737009722091]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.66335870228""","=""0.00000000009""","=""""","=""4.294e+06""",AA,"=""[23.07365101981]""","=""[23.737009722091]""","=""1s.3d""","=""3D""","=""2""","=""1s.4f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""0.663356""","=""0.000004""","=""0.66335805219""","=""0.00000000009""","=""500*""","=""6.1502e+04""",AAA,"=""[23.07365070854]""","=""[23.737008760725]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""L885""",
"=""0.663356""","=""0.000004""","=""0.66335774092""","=""0.00000000009""","=""500*""","=""2.1521e+06""",AAA,"=""[23.07365101981]""","=""[23.737008760725]""","=""1s.3d""","=""3D""","=""2""","=""1s.4f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""L885""",
"=""0.663356""","=""0.000004""","=""0.66335698365""","=""0.00000000009""","=""500*""","=""1.3838e+07""",AAA,"=""[23.07365070854]""","=""[23.737007692183]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""L885""",
"=""0.663356""","=""0.000004""","=""0.66335609843""","=""0.00000000009""","=""500*""","=""9.7644e+05""",AAA,"=""[23.07365070854]""","=""[23.737006806968]""","=""1s.3d""","=""3D""","=""3""","=""1s.4f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""L885""",
"=""0.663356""","=""0.000004""","=""0.66335578716""","=""0.00000000009""","=""500*""","=""8.0071e+06""",AAA,"=""[23.07365101981]""","=""[23.737006806968]""","=""1s.3d""","=""3D""","=""2""","=""1s.4f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""L885""",
"=""""","=""""","=""0.66335226105""","=""0.00000000009""","=""""","=""1.1624e+07""",AAA,"=""[23.07365649967]""","=""[23.737008760725]""","=""1s.3d""","=""3D""","=""1""","=""1s.4f""","=""3F*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""0.662934""","=""0.000004""","=""0.66293492432""","=""0.00000000009""","=""200""","=""8.9780e+06""",AAA,"=""[23.07407479777]""","=""[23.737009722091]""","=""1s.3d""","=""1D""","=""2""","=""1s.4f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""L885""",
"=""""","=""""","=""0.66293396295""","=""0.00000000009""","=""""","=""5.235e+02""",AA,"=""[23.07407479777]""","=""[23.737008760725]""","=""1s.3d""","=""1D""","=""2""","=""1s.4f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.66293200920""","=""0.00000000009""","=""""","=""4.852e+06""",AA,"=""[23.07407479777]""","=""[23.737006806968]""","=""1s.3d""","=""1D""","=""2""","=""1s.4f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6550515392""","=""0.0000000011""","=""""","=""2.5290e+00""",AAA,"=""[23.08701852960]""","=""[23.74207006880]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
"=""""","=""""","=""0.6502129161""","=""0.0000000009""","=""""","=""1.9474e+05""",AAA,"=""[23.7078912279]""","=""[24.3581041440]""","=""1s.4p""","=""3P*""","=""2""","=""1s.8s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6502118007""","=""0.0000000009""","=""""","=""1.1684e+05""",AAA,"=""[23.7078923433]""","=""[24.3581041440]""","=""1s.4p""","=""3P*""","=""1""","=""1s.8s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6501981220""","=""0.0000000009""","=""""","=""3.8948e+04""",AAA,"=""[23.7079060221]""","=""[24.3581041440]""","=""1s.4p""","=""3P*""","=""0""","=""1s.8s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""0.649316""","=""0.000003""","=""0.6493165058""","=""0.0000000009""","=""100""","=""7.1159e+06""",AAA,"=""[23.08701852960]""","=""[23.73633503536]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L885""",
"=""""","=""""","=""0.6490718094""","=""0.0000000009""","=""""","=""8.944e+02""",AA,"=""[23.08701852960]""","=""[23.73609033897]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63913166199""","=""0.00000000012""","=""""","=""2.9506e+04""",AAA,"=""[23.73633503536]""","=""[24.375466697350]""","=""1s.4d""","=""1D""","=""2""","=""1s.8p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63871714014""","=""0.00000000004""","=""""","=""1.216e+04""",AA,"=""[23.73609019010]""","=""[24.3748073302369]""","=""1s.4d""","=""3D""","=""3""","=""1s.8f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63871699127""","=""0.00000000004""","=""""","=""9.307e+04""",AA,"=""[23.73609033897]""","=""[24.3748073302369]""","=""1s.4d""","=""3D""","=""2""","=""1s.8f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63871693550""","=""0.00000000004""","=""""","=""2.0626e+03""",AAA,"=""[23.73609019010]""","=""[24.3748071255995]""","=""1s.4d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63871680208""","=""0.00000000004""","=""""","=""4.6409e+05""",AAA,"=""[23.73609019010]""","=""[24.3748069921824]""","=""1s.4d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63871678663""","=""0.00000000004""","=""""","=""7.2183e+04""",AAA,"=""[23.73609033897]""","=""[24.3748071255995]""","=""1s.4d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63871672696""","=""0.00000000004""","=""""","=""3.9407e+04""",AAA,"=""[23.73609019010]""","=""[24.3748069170618]""","=""1s.4d""","=""3D""","=""3""","=""1s.8f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63871657809""","=""0.00000000004""","=""""","=""3.1946e+05""",AAA,"=""[23.73609033897]""","=""[24.3748069170618]""","=""1s.4d""","=""3D""","=""2""","=""1s.8f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63871449053""","=""0.00000000004""","=""""","=""3.8984e+05""",AAA,"=""[23.73609263507]""","=""[24.3748071255995]""","=""1s.4d""","=""3D""","=""1""","=""1s.8f""","=""3F*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63847229487""","=""0.00000000004""","=""""","=""3.5829e+05""",AAA,"=""[23.73633503536]""","=""[24.3748073302369]""","=""1s.4d""","=""1D""","=""2""","=""1s.8f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63847188170""","=""0.00000000004""","=""""","=""1.051e+05""",AA,"=""[23.73633503536]""","=""[24.3748069170618]""","=""1s.4d""","=""1D""","=""2""","=""1s.8f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637816550599""","=""0.000000000009""","=""""","=""3.575e+03""",AA,"=""[23.737006806968]""","=""[24.3748233575671]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8g""","=""1G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637816499090""","=""0.000000000009""","=""""","=""1.8624e+04""",AAA,"=""[23.737006806968]""","=""[24.3748233060576]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637816339175""","=""0.000000000009""","=""""","=""3.4688e+05""",AAA,"=""[23.737006806968]""","=""[24.3748231461435]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8g""","=""3G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637815665384""","=""0.000000000009""","=""""","=""1.095e+04""",AA,"=""[23.737007692183]""","=""[24.3748233575671]""","=""1s.4f""","=""3F*""","=""4""","=""1s.8g""","=""1G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637815613874""","=""0.000000000009""","=""""","=""4.6549e+02""",AAA,"=""[23.737007692183]""","=""[24.3748233060576]""","=""1s.4f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637815537645""","=""0.000000000009""","=""""","=""3.6494e+05""",AAA,"=""[23.737007692183]""","=""[24.3748232298280]""","=""1s.4f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""5""",9,11,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637815453960""","=""0.000000000009""","=""""","=""1.1860e+04""",AAA,"=""[23.737007692183]""","=""[24.3748231461435]""","=""1s.4f""","=""3F*""","=""4""","=""1s.8g""","=""3G""","=""4""",9,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637814545332""","=""0.000000000009""","=""""","=""3.3515e+05""",AAA,"=""[23.737008760725]""","=""[24.3748233060576]""","=""1s.4f""","=""3F*""","=""2""","=""1s.8g""","=""3G""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637813635476""","=""0.000000000009""","=""""","=""3.5042e+05""",AAA,"=""[23.737009722091]""","=""[24.3748233575671]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8g""","=""1G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637813583967""","=""0.000000000009""","=""""","=""1.070e+04""",AA,"=""[23.737009722091]""","=""[24.3748233060576]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637813424052""","=""0.000000000009""","=""""","=""6.200e+03""",AA,"=""[23.737009722091]""","=""[24.3748231461435]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8g""","=""3G""","=""4""",7,9,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637712737543""","=""0.000000000009""","=""""","=""2.445e+03""",AA,"=""[23.737006806968]""","=""[24.374719544511]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637709822420""","=""0.000000000009""","=""""","=""4.4094e+03""",AAA,"=""[23.737009722091]""","=""[24.374719544511]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8d""","=""1D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637674093246""","=""0.000000000011""","=""""","=""3.9611e+03""",AAA,"=""[23.737006806968]""","=""[24.374680900214]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637674073101""","=""0.000000000011""","=""""","=""3.4865e+02""",AAA,"=""[23.737006806968]""","=""[24.374680880069]""","=""1s.4f""","=""3F*""","=""3""","=""1s.8d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637673187885""","=""0.000000000011""","=""""","=""6.3528e+03""",AAA,"=""[23.737007692183]""","=""[24.374680880069]""","=""1s.4f""","=""3F*""","=""4""","=""1s.8d""","=""3D""","=""3""",9,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637672425018""","=""0.000000000011""","=""""","=""6.9175e+03""",AAA,"=""[23.737008760725]""","=""[24.374681185743]""","=""1s.4f""","=""3F*""","=""2""","=""1s.8d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637672139489""","=""0.000000000011""","=""""","=""7.6855e+02""",AAA,"=""[23.737008760725]""","=""[24.374680900214]""","=""1s.4f""","=""3F*""","=""2""","=""1s.8d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637671178123""","=""0.000000000011""","=""""","=""2.188e+03""",AA,"=""[23.737009722091]""","=""[24.374680900214]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8d""","=""3D""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.637671157978""","=""0.000000000011""","=""""","=""2.004e+02""",AA,"=""[23.737009722091]""","=""[24.374680880069]""","=""1s.4f""","=""1F*""","=""3""","=""1s.8d""","=""3D""","=""3""",7,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6371375886""","=""0.0000000025""","=""""","=""1.5207e+05""",AAA,"=""[23.673570590]""","=""[24.31070817873]""","=""1s.4s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63507569067""","=""0.00000000014""","=""""","=""4.8183e+04""",AAA,"=""[23.73609019010]""","=""[24.37116588077]""","=""1s.4d""","=""3D""","=""3""","=""1s.8p""","=""3P*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63507567510""","=""0.00000000014""","=""""","=""4.3015e+04""",AAA,"=""[23.73609033897]""","=""[24.37116601407]""","=""1s.4d""","=""3D""","=""2""","=""1s.8p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63507554180""","=""0.00000000014""","=""""","=""8.6030e+03""",AAA,"=""[23.73609033897]""","=""[24.37116588077]""","=""1s.4d""","=""3D""","=""2""","=""1s.8p""","=""3P*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63507501656""","=""0.00000000014""","=""""","=""5.7360e+04""",AAA,"=""[23.73609263507]""","=""[24.37116765163]""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63507337900""","=""0.00000000014""","=""""","=""1.4340e+04""",AAA,"=""[23.73609263507]""","=""[24.37116601407]""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.63507324570""","=""0.00000000014""","=""""","=""5.7360e+02""",AAA,"=""[23.73609263507]""","=""[24.37116588077]""","=""1s.4d""","=""3D""","=""1""","=""1s.8p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6342495224""","=""0.0000000009""","=""""","=""6.4534e+05""",AAA,"=""[23.07365649967]""","=""[23.7079060221]""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""0.634242""","=""0.000003""","=""0.6342413235""","=""0.0000000009""","=""20""","=""4.8389e+05""",AAA,"=""[23.07365101981]""","=""[23.7078923433]""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""L885""",
"=""""","=""""","=""0.6342405194""","=""0.0000000009""","=""""","=""5.4209e+05""",AAA,"=""[23.07365070854]""","=""[23.7078912279]""","=""1s.3d""","=""3D""","=""3""","=""1s.4p""","=""3P*""","=""2""",7,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6342402081""","=""0.0000000009""","=""""","=""9.6778e+04""",AAA,"=""[23.07365101981]""","=""[23.7078912279]""","=""1s.3d""","=""3D""","=""2""","=""1s.4p""","=""3P*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6342358437""","=""0.0000000009""","=""""","=""1.6134e+05""",AAA,"=""[23.07365649967]""","=""[23.7078923433]""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6342347283""","=""0.0000000009""","=""""","=""6.4534e+03""",AAA,"=""[23.07365649967]""","=""[23.7078912279]""","=""1s.3d""","=""3D""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6338175456""","=""0.0000000009""","=""""","=""1.150e+02""",AA,"=""[23.07407479777]""","=""[23.7078923433]""","=""1s.3d""","=""1D""","=""2""","=""1s.4p""","=""3P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6338164302""","=""0.0000000009""","=""""","=""2.354e+01""",AA,"=""[23.07407479777]""","=""[23.7078912279]""","=""1s.3d""","=""1D""","=""2""","=""1s.4p""","=""3P*""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6326494757""","=""0.0000000009""","=""""","=""3.5063e+05""",AAA,"=""[23.74207006880]""","=""[24.374719544511]""","=""1s.4p""","=""1P*""","=""1""","=""1s.8d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6251100090""","=""0.0000000009""","=""""","=""2.8512e+05""",AAA,"=""[23.74207006880]""","=""[24.3671800778]""","=""1s.4p""","=""1P*""","=""1""","=""1s.8s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.606860995""","=""0.000000003""","=""""","=""1.1524e+05""",AAA,"=""[23.593958713]""","=""[24.20081970804]""","=""1s.4s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.606857062""","=""0.000000003""","=""""","=""1.1524e+05""",AAA,"=""[23.593958713]""","=""[24.20081577498]""","=""1s.4s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.606856742""","=""0.000000003""","=""""","=""1.1524e+05""",AAA,"=""[23.593958713]""","=""[24.20081545451]""","=""1s.4s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""0.602247""","=""0.000003""","=""0.6022478885""","=""0.0000000010""","=""1000""","=""1.9746e+06""",AAA,"=""[20.615774823]""","=""[21.2180227112]""","=""1s.2s""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L366""",
"=""""","=""""","=""0.6016501257""","=""0.0000000009""","=""""","=""1.4462e+04""",AAA,"=""[23.7078912279]""","=""[24.309541353601]""","=""1s.4p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6016496992""","=""0.0000000009""","=""""","=""1.3015e+05""",AAA,"=""[23.7078912279]""","=""[24.309540927161]""","=""1s.4p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6016496694""","=""0.0000000009""","=""""","=""5.2063e+05""",AAA,"=""[23.7078912279]""","=""[24.309540897300]""","=""1s.4p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6016490103""","=""0.0000000009""","=""""","=""2.1693e+05""",AAA,"=""[23.7078923433]""","=""[24.309541353601]""","=""1s.4p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6016485838""","=""0.0000000009""","=""""","=""3.9044e+05""",AAA,"=""[23.7078923433]""","=""[24.309540927161]""","=""1s.4p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.6016353315""","=""0.0000000009""","=""""","=""2.8924e+05""",AAA,"=""[23.7079060221]""","=""[24.309541353601]""","=""1s.4p""","=""3P*""","=""0""","=""1s.7d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5994957924""","=""0.0000000025""","=""""","=""1.3064e+00""",AAA,"=""[23.07407479777]""","=""[23.673570590]""","=""1s.3d""","=""1D""","=""2""","=""1s.4s""","=""1S""","=""0""",5,1,E2,"=""T7378""","=""""",
"=""0.586884""","=""0.000003""","=""0.586885567""","=""0.000000003""","=""80*""","=""3.6179e+06""",AAA,"=""[23.00707314571]""","=""[23.593958713]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L885""",
"=""0.586884""","=""0.000003""","=""0.586882841""","=""0.000000003""","=""80*""","=""2.1707e+06""",AAA,"=""[23.0070758719]""","=""[23.593958713]""","=""1s.3p""","=""3P*""","=""1""","=""1s.4s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L885""",
"=""0.586846""","=""0.000003""","=""0.586849279""","=""0.000000003""","=""10""","=""7.2358e+05""",AAA,"=""[23.0071094335]""","=""[23.593958713]""","=""1s.3p""","=""3P*""","=""0""","=""1s.4s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""L885""",
"=""0.586552""","=""0.000003""","=""0.586552061""","=""0.000000003""","=""20""","=""4.5925e+06""",AAA,"=""[23.08701852960]""","=""[23.673570590]""","=""1s.3p""","=""1P*""","=""1""","=""1s.4s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L885""",
"=""""","=""""","=""0.5766748089""","=""0.0000000009""","=""""","=""3.0673e+05""",AAA,"=""[23.7078912279]""","=""[24.2845660369]""","=""1s.4p""","=""3P*""","=""2""","=""1s.7s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5766736935""","=""0.0000000009""","=""""","=""1.8404e+05""",AAA,"=""[23.7078923433]""","=""[24.2845660369]""","=""1s.4p""","=""3P*""","=""1""","=""1s.7s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.5766600148""","=""0.0000000009""","=""""","=""6.1346e+04""",AAA,"=""[23.7079060221]""","=""[24.2845660369]""","=""1s.4p""","=""3P*""","=""0""","=""1s.7s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57437314337""","=""0.00000000017""","=""""","=""4.6870e+04""",AAA,"=""[23.73633503536]""","=""[24.31070817873]""","=""1s.4d""","=""1D""","=""2""","=""1s.7p""","=""1P*""","=""1""",5,3,,"=""T8636c73""","=""""",
"=""""","=""""","=""0.57363770697""","=""0.00000000004""","=""""","=""2.038e+04""",AA,"=""[23.73609019010]""","=""[24.3097278970701]""","=""1s.4d""","=""3D""","=""3""","=""1s.7f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
