   j      e(j)         levid         stwt


  141   0.2983E+01  10100103.0810      3.0
  142   0.2983E+01  30100103.0910      9.0
  143   0.2984E+01  10210103.0820      5.0
  144   0.2984E+01  30210103.0820     15.0
  145   0.2984E+01  10300103.0830      7.0
  146   0.2984E+01  30300103.0830     21.0
  147   0.2984E+01  10410103.0840      9.0
  148   0.2984E+01  30410103.0840     27.0
  149   0.2984E+01  10500103.0850     11.0
  150   0.2984E+01  30500103.0850     33.0
  151   0.2984E+01  10610103.0860     13.0
  152   0.2984E+01  30610103.0860     39.0
  153   0.2984E+01  30700103.0870     45.0
  154   0.2986E+01  10100103.0910      3.0
  155   0.2987E+01  30100103.1010      9.0
  156   0.2987E+01  10210103.0920      5.0
  157   0.2987E+01  30210103.0920     15.0
  158   0.2988E+01  10300103.0930      7.0
  159   0.2988E+01  30300103.0930     21.0
  160   0.2988E+01  10410103.0940      9.0
  161   0.2988E+01  30410103.0940     27.0
  162   0.2988E+01  10500103.0950     11.0
  163   0.2988E+01  30500103.0950     33.0
  164   0.2988E+01  10610103.0960     13.0
  165   0.2988E+01  30610103.0960     39.0
  166   0.2988E+01  30700103.0970     45.0
  167   0.2989E+01  10100103.1010      3.0
  168   0.2990E+01  30100103.1110      9.0
  169   0.2990E+01  10210103.1020      5.0
  170   0.2990E+01  30210103.1020     15.0
  171   0.2990E+01  10300103.1030      7.0
  172   0.2990E+01  30300103.1030     21.0
  173   0.2990E+01  10410103.1040      9.0
  174   0.2990E+01  30410103.1040     27.0
  175   0.2990E+01  10500103.1050     11.0
  176   0.2990E+01  30500103.1050     33.0
  177   0.2990E+01  10610103.1060     13.0
  178   0.2990E+01  30610103.1060     39.0
  179   0.2990E+01  30700103.1070     45.0
---------------------------------------------------------------------------
  

iii) State-specific RRC: LS State id, BE(Ry), RRC(T) at 81 T(K)-values
----------------------------------------------------------------------
 
Table Explanation:
------------------

The list of 81 temperatures in K given at the top.
  
RRC starts below the line "photoionization: opacity values";
Values listed are - LS State id, BE(Ry), RRC(T) at 81 T(K)-values  
  
Note: LS State id, coded same as in Table ii:  SLLpZZNN.nnlf
  
  where for the digit spaces,
      S=2S+1, LL=L (numerical), p=parity(= 0 even, 1 odd),
      ZZ=Z-1 for valence electron state & =Z for equivalent electron state,
      NN=target/core state number (icx of Table i),
      nn=n-principle Q.N., l=orbital angular momentum (numerical) of outer
      electron, f=identification code (ignore it)
  Ex: 10100501.0310 -> state=1Se ZZ=5 giving (Z=6), icx=1, nl = 3p

----------------------------------------------------------------------

 z =  2, No of core electron=  1: 81 temperatures for the rrc values

 level-id         BE                 recomb rate coeff(T): values
                 (Ry)       1.00E+01(K) 1.26E+01(K) 1.58E+01(K) 2.00E+01(K)
  2.51E+01(K)  3.16E+01(K)  3.98E+01(K)  5.01E+01(K)  6.31E+01(K)  7.94E+01(K)
  1.00E+02(K)  1.26E+02(K)  1.58E+02(K)  2.00E+02(K)  2.51E+02(K)  3.16E+02(K)
  3.98E+02(K)  5.01E+02(K)  6.31E+02(K)  7.94E+02(K)  1.00E+03(K)  1.26E+03(K)
  1.58E+03(K)  2.00E+03(K)  2.51E+03(K)  3.16E+03(K)  3.98E+03(K)  5.01E+03(K)
  6.31E+03(K)  7.94E+03(K)  1.00E+04(K)  1.26E+04(K)  1.58E+04(K)  2.00E+04(K)
  2.51E+04(K)  3.16E+04(K)  3.98E+04(K)  5.01E+04(K)  6.31E+04(K)  7.94E+04(K)
  1.00E+05(K)  1.26E+05(K)  1.58E+05(K)  2.00E+05(K)  2.51E+05(K)  3.16E+05(K)
  3.98E+05(K)  5.01E+05(K)  6.31E+05(K)  7.94E+05(K)  1.00E+06(K)  1.26E+06(K)
  1.58E+06(K)  2.00E+06(K)  2.51E+06(K)  3.16E+06(K)  3.98E+06(K)  5.01E+06(K)
  6.31E+06(K)  7.94E+06(K)  1.00E+07(K)  1.26E+07(K)  1.58E+07(K)  2.00E+07(K)
  2.51E+07(K)  3.16E+07(K)  3.98E+07(K)  5.01E+07(K)  6.31E+07(K)  7.94E+07(K)
  1.00E+08(K)  1.26E+08(K)  1.58E+08(K)  2.00E+08(K)  2.51E+08(K)  3.16E+08(K)
  3.98E+08(K)  5.01E+08(K)  6.31E+08(K)  7.94E+08(K)  1.00E+09(K)

 photoionization: opacity values
 10000200.0000 -1.7738E+00  4.7796E-12  4.2599E-12  3.7966E-12  3.3838E-12
  3.0158E-12 2.6879E-12 2.3956E-12 2.1351E-12 1.9030E-12 1.6961E-12 1.5117E-12
  1.3473E-12 1.2009E-12 1.0704E-12 9.5404E-13 8.5038E-13 7.5801E-13 6.7570E-13
  6.0235E-13 5.3700E-13 4.7877E-13 4.2690E-13 3.8069E-13 3.3954E-13 3.0289E-13
  2.7027E-13 2.4123E-13 2.1539E-13 1.9241E-13 1.7197E-13 1.5380E-13 1.3764E-13
  1.2327E-13 1.1049E-13 9.9127E-14 8.9009E-14 7.9989E-14 7.1935E-14 6.4729E-14
  5.8269E-14 5.2463E-14 4.7235E-14 4.2514E-14 3.8246E-14 3.4359E-14 3.0048E-14
  2.6503E-14 2.2789E-14 1.9624E-14 1.6692E-14 1.3764E-14 1.1207E-14 9.0991E-15
  7.1994E-15 5.6917E-15 4.2870E-15 3.3036E-15 2.5273E-15 1.7318E-15 1.2911E-15
  9.5764E-16 6.9254E-16 5.0799E-16 3.7177E-16 2.7176E-16 1.9855E-16 1.4504E-16
